,lr,Width,Training Loss,type
0,0.125,128,3.9786788389319554,u-muP
1,0.125,256,3.8466036702739075,u-muP
2,0.125,512,3.755274760827888,u-muP
3,0.125,1024,3.700682319351472,u-muP
4,0.125,2048,3.671854807063937,u-muP
5,0.125,4096,3.652098005928565,u-muP
6,0.1767766952966369,128,3.8859014150997004,u-muP
7,0.1767766952966369,256,3.7225774956556656,u-muP
8,0.1767766952966369,512,3.6103562021938465,u-muP
9,0.1767766952966369,1024,3.5364562293204167,u-muP
10,0.1767766952966369,2048,3.5001295460388064,u-muP
11,0.1767766952966369,4096,3.4769644426026693,u-muP
12,0.25,128,3.809132194961421,u-muP
13,0.25,256,3.6130163788911887,u-muP
14,0.25,512,3.469831799971871,u-muP
15,0.25,1024,3.3885621658409946,u-muP
16,0.25,2048,3.340765079425182,u-muP
17,0.25,4096,3.3123214637162164,u-muP
18,0.3535533905932738,128,3.7381962765939534,u-muP
19,0.3535533905932738,256,3.500574882607907,u-muP
20,0.3535533905932738,512,3.346707240367929,u-muP
21,0.3535533905932738,1024,3.2548173386603594,u-muP
22,0.3535533905932738,2048,3.1985324900597334,u-muP
23,0.3535533905932738,4096,3.1630190316742905,u-muP
24,0.5,128,3.6877071664785035,u-muP
25,0.5,256,3.4253911318955943,u-muP
26,0.5,512,3.249093369639013,u-muP
27,0.5,1024,3.142821137153078,u-muP
28,0.5,2048,3.0755434408201836,u-muP
29,0.5,4096,3.0369116760557517,u-muP
30,0.7071067811865476,128,3.6357179479673505,u-muP
31,0.7071067811865476,256,3.354184522293508,u-muP
32,0.7071067811865476,512,3.1854234389029443,u-muP
33,0.7071067811865476,1024,3.0712629786382117,u-muP
34,0.7071067811865476,2048,2.9919188752149544,u-muP
35,0.7071067811865476,4096,2.9394238776682564,u-muP
36,1.0,128,3.5768329545971937,u-muP
37,1.0,256,3.3187477389583364,u-muP
38,1.0,512,3.1430700963828713,u-muP
39,1.0,1024,3.0199973883572966,u-muP
40,1.0,2048,2.933668641082477,u-muP
41,1.0,4096,2.875724884797819,u-muP
42,1.4142135623730951,128,3.5898907128721476,u-muP
43,1.4142135623730951,256,3.300752051329861,u-muP
44,1.4142135623730951,512,3.1191048386196294,u-muP
45,1.4142135623730951,1024,2.991401111551871,u-muP
46,1.4142135623730951,2048,2.9012003519261875,u-muP
47,1.4142135623730951,4096,2.837776066424946,u-muP
48,2.0,128,3.5579803467844613,u-muP
49,2.0,256,3.2930813258280978,u-muP
50,2.0,512,3.1056417507934384,u-muP
51,2.0,1024,2.97729558928404,u-muP
52,2.0,2048,2.8862320327898487,u-muP
53,2.0,4096,2.820888396934606,u-muP
54,2.8284271247461903,128,3.538113945008566,u-muP
55,2.8284271247461903,256,3.2891056715355567,u-muP
56,2.8284271247461903,512,3.105806729833906,u-muP
57,2.8284271247461903,1024,2.971764270449057,u-muP
58,2.8284271247461903,2048,2.8821051189831146,u-muP
59,2.8284271247461903,4096,2.81956434273161,u-muP
60,4.0,128,3.5437859860248864,u-muP
61,4.0,256,3.2912741872132756,u-muP
62,4.0,512,3.105691623291932,u-muP
63,4.0,1024,2.979005172266625,u-muP
64,4.0,2048,2.8867156666819938,u-muP
65,4.0,4096,2.8251762118306942,u-muP
66,5.656854249492381,128,3.558010667329654,u-muP
67,5.656854249492381,256,3.3039165444206446,u-muP
68,5.656854249492381,512,3.118847837826858,u-muP
69,5.656854249492381,1024,2.9887605640105903,u-muP
70,5.656854249492381,2048,2.9023809023201466,u-muP
71,5.656854249492381,4096,2.8438999061472714,u-muP
72,8.0,128,3.5742978319176473,u-muP
73,8.0,256,3.3089943332597613,u-muP
74,8.0,512,3.1261201959569007,u-muP
75,8.0,1024,3.008813202381134,u-muP
76,8.0,2048,2.921257974987384,u-muP
77,8.0,4096,3.009057563787792,u-muP
78,11.31370849898476,128,3.5808723182417452,u-muP
79,11.31370849898476,256,3.3322231820008406,u-muP
80,11.31370849898476,512,3.1684062206186354,u-muP
81,11.31370849898476,1024,3.148876259336248,u-muP
82,11.31370849898476,2048,3.4012280302122235,u-muP
83,11.31370849898476,4096,3.488394492693866,u-muP
84,16.0,128,3.651302354701329,u-muP
85,16.0,256,4.097776327689644,u-muP
86,16.0,512,4.45556136633968,u-muP
87,16.0,1024,4.005970803264063,u-muP
88,16.0,2048,3.9667329526273534,u-muP
89,16.0,4096,3.864172774599865,u-muP
90,22.62741699796952,128,4.774623340306182,u-muP
91,22.62741699796952,256,4.710651555874695,u-muP
92,22.62741699796952,512,4.608356480797132,u-muP
93,22.62741699796952,1024,4.325556150948008,u-muP
94,22.62741699796952,2048,4.278723430198927,u-muP
95,22.62741699796952,4096,4.222949549090117,u-muP
96,32.0,128,4.518367205164395,u-muP
97,32.0,256,4.39297532371711,u-muP
98,32.0,512,4.480368191725574,u-muP
99,32.0,1024,4.527822821517475,u-muP
100,32.0,2048,4.500872403034009,u-muP
101,32.0,4096,4.510690349969082,u-muP
102,64.0,128,6.219664745032787,u-muP
103,64.0,256,5.126913206651807,u-muP
104,64.0,512,5.092989096418023,u-muP
105,64.0,1024,5.63701907126233,u-muP
106,64.0,2048,5.016316230874509,u-muP
107,64.0,4096,5.068120575044304,u-muP
0,0.000244140625,128,4.371135878687103,muP
1,0.000244140625,256,4.147764480983217,muP
2,0.000244140625,512,3.9947509666283927,muP
3,0.000244140625,1024,3.912185862660408,muP
4,0.000244140625,2048,3.8538675803380706,muP
5,0.000244140625,4096,3.812925365753472,muP
6,0.00034526698300124393,128,4.25069991281877,muP
7,0.00034526698300124393,256,4.01830395963043,muP
8,0.00034526698300124393,512,3.840650617921104,muP
9,0.00034526698300124393,1024,3.733984760940075,muP
10,0.00034526698300124393,2048,3.6638448336161673,muP
11,0.00034526698300124393,4096,3.620000828057527,muP
12,0.00048828125,128,4.156050443125423,muP
13,0.00048828125,256,3.891363494331017,muP
14,0.00048828125,512,3.700320882257074,muP
15,0.00048828125,1024,3.5759009582106955,muP
16,0.00048828125,2048,3.4952791956602596,muP
17,0.00048828125,4096,3.4438552883802913,muP
18,0.0006905339660024879,128,4.080504407174885,muP
19,0.0006905339660024879,256,3.794253374217078,muP
20,0.0006905339660024879,512,3.586925607174635,muP
21,0.0006905339660024879,1024,3.4461039272136986,muP
22,0.0006905339660024879,2048,3.3512740686225393,muP
23,0.0006905339660024879,4096,3.290855838373924,muP
24,0.0009765625,128,4.011921318771783,muP
25,0.0009765625,256,3.7152661784951175,muP
26,0.0009765625,512,3.4841651662718505,muP
27,0.0009765625,1024,3.343445202743169,muP
28,0.0009765625,2048,3.2302559810341336,muP
29,0.0009765625,4096,3.1660034011583775,muP
30,0.0013810679320049755,128,3.9661280101475618,muP
31,0.0013810679320049755,256,3.644018001311148,muP
32,0.0013810679320049755,512,3.3938523324516914,muP
33,0.0013810679320049755,1024,3.235778020850072,muP
34,0.0013810679320049755,2048,3.1378060382169983,muP
35,0.0013810679320049755,4096,3.0571290436200798,muP
36,0.001953125,128,3.923447100853082,muP
37,0.001953125,256,3.60524432494172,muP
38,0.001953125,512,3.3287913604290225,muP
39,0.001953125,1024,3.163253001461271,muP
40,0.001953125,2048,3.0544204736943357,muP
41,0.001953125,4096,2.9660682294052094,muP
42,0.0027621358640099515,128,3.8867481908140085,muP
43,0.0027621358640099515,256,3.5572925330294916,muP
44,0.0027621358640099515,512,3.282209889808049,muP
45,0.0027621358640099515,1024,3.1148051121272147,muP
46,0.0027621358640099515,2048,2.991179386464258,muP
47,0.0027621358640099515,4096,2.909220557737475,muP
48,0.00390625,128,3.8817039873683825,muP
49,0.00390625,256,3.522304421656632,muP
50,0.00390625,512,3.260886538249906,muP
51,0.00390625,1024,3.0931586336228065,muP
52,0.00390625,2048,2.971990827471018,muP
53,0.00390625,4096,2.8836349198245443,muP
54,0.005524271728019903,128,3.8669441213520863,muP
55,0.005524271728019903,256,3.5129726595478132,muP
56,0.005524271728019903,512,3.2530165356583893,muP
57,0.005524271728019903,1024,3.086793680054446,muP
58,0.005524271728019903,2048,2.971010187330345,muP
59,0.005524271728019903,4096,2.8864533385882774,muP
60,0.0078125,128,3.8503887691767886,muP
61,0.0078125,256,3.506480220006779,muP
62,0.0078125,512,3.254234543594066,muP
63,0.0078125,1024,3.098723385366611,muP
64,0.0078125,2048,2.984461146988906,muP
65,0.0078125,4096,2.8994238801533356,muP
66,0.011048543456039806,128,3.8905033374515674,muP
67,0.011048543456039806,256,3.5585141079888367,muP
68,0.011048543456039806,512,3.2872005784884095,muP
69,0.011048543456039806,1024,3.168248071335256,muP
70,0.011048543456039806,2048,3.020738128107041,muP
71,0.011048543456039806,4096,2.959270137905454,muP
72,0.015625,128,4.051031996845268,muP
73,0.015625,256,3.6083916291993643,muP
74,0.015625,512,3.3940167854889296,muP
75,0.015625,1024,3.2898816849919967,muP
76,0.015625,2048,3.232651404628996,muP
77,0.015625,4096,3.130319123971276,muP
78,0.02209708691207961,128,4.126222871243954,muP
79,0.02209708691207961,256,3.930578319937922,muP
80,0.02209708691207961,512,3.900146149409314,muP
81,0.02209708691207961,1024,3.80251491550977,muP
82,0.02209708691207961,2048,3.54320697983106,muP
83,0.02209708691207961,4096,3.4592901793463775,muP
84,0.03125,128,4.442946522380225,muP
85,0.03125,256,4.190396434228335,muP
86,0.03125,512,4.079403288837057,muP
87,0.03125,1024,4.055668885819614,muP
88,0.03125,2048,3.9273019288666546,muP
89,0.03125,4096,3.739794143941254,muP
90,0.04419417382415922,4096,4.138470703503117,muP
91,0.125,128,5.1069725363825755,muP
92,0.125,256,4.744982287908594,muP
93,0.125,512,4.981528195242087,muP
94,0.125,1024,4.6333954548463225,muP
95,0.125,2048,4.910989684984088,muP
96,0.1767766952966369,128,5.465414202151199,muP
97,0.1767766952966369,256,4.965916425610582,muP
98,0.1767766952966369,512,4.878497635014355,muP
99,0.1767766952966369,1024,5.0724888204907375,muP
100,0.1767766952966369,2048,5.167737893449764,muP
